timestamp,tx,ty,tz,qx,qy,qz,qw,kf_id,map_id
1772193941.711016,0.148915,-0.132447,-1.600064,0.024997,-0.159284,0.020691,0.986699,13,0
1772193940.170966,0.167421,0.003830,-0.326547,0.017693,-0.084854,-0.001176,0.996236,5,0
1772193939.731005,0.005917,0.022708,-0.030290,-0.001591,-0.011183,-0.000298,0.999936,1,0
1772193940.610998,0.232444,-0.005463,-0.715834,0.015711,-0.077249,0.001064,0.996887,7,0
1772193939.676004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0
1772193941.381006,0.171449,-0.114521,-1.332699,0.021010,-0.070779,0.026360,0.996922,11,0
1772193941.160998,0.196766,-0.075636,-1.216769,0.000124,-0.046292,0.027354,0.998553,10,0
1772193943.856014,-2.256381,-0.184668,-3.536638,0.054182,-0.613855,0.035515,0.786756,23,0
1772193942.865983,-0.776450,-0.103476,-3.472711,0.040158,-0.629349,0.029068,0.775540,20,0
1772193941.546010,0.163607,-0.118854,-1.439448,0.020703,-0.102665,0.032530,0.993968,12,0
1772193940.005985,0.104067,0.015150,-0.197972,0.017519,-0.068756,-0.008498,0.997443,4,0
1772193942.701027,-0.590515,-0.096125,-3.255015,0.040707,-0.592316,0.029601,0.804132,19,0
1772193942.205989,-0.081217,-0.131747,-2.346387,0.029277,-0.387027,-0.000826,0.921603,16,0
1772193939.786013,0.019466,0.034383,-0.058069,0.001971,-0.021320,-0.001762,0.999769,2,0
1772193940.390999,0.214811,-0.005356,-0.518477,0.014553,-0.089015,0.006136,0.995905,6,0
1772193939.896023,0.056799,0.033927,-0.120094,0.010434,-0.048170,-0.007869,0.998754,3,0
1772193940.940976,0.215819,-0.031023,-1.046298,-0.013150,-0.051658,0.002017,0.998576,9,0
1772193940.776007,0.232349,-0.021117,-0.881304,0.018755,-0.060679,-0.005968,0.997963,8,0
1772193942.536027,-0.414164,-0.111327,-2.978896,0.039881,-0.536258,0.013275,0.843007,18,0
1772193943.141012,-1.098080,-0.083962,-3.570779,0.040489,-0.653414,0.025301,0.755493,21,0
1772193941.875997,0.112519,-0.130333,-1.813988,0.017220,-0.235444,0.009129,0.971692,14,0
1772193943.580986,-1.778962,-0.197484,-3.602333,0.050537,-0.654236,0.033014,0.753877,22,0
1772193942.040999,0.029795,-0.130367,-2.060555,0.017393,-0.308491,0.005643,0.951052,15,0
1772193942.370995,-0.246183,-0.114712,-2.653776,0.039653,-0.471258,0.001845,0.881102,17,0
1772193944.130985,-2.744106,-0.206415,-3.457891,0.038220,-0.569445,0.029482,0.820611,24,0
1772193944.350967,-3.132969,-0.219608,-3.350361,0.034213,-0.540918,0.033579,0.839708,26,0
1772193944.681007,-3.741455,-0.260338,-3.120615,0.034001,-0.515290,0.028533,0.855865,29,0
1772193944.460983,-3.333742,-0.223762,-3.278831,0.038421,-0.531593,0.036301,0.845349,27,0
1772193945.725984,-5.630047,-0.413298,-2.098238,0.047729,-0.385435,0.066181,0.919120,37,0
1772193944.900977,-4.142954,-0.302984,-2.923153,0.037141,-0.491412,0.033996,0.869471,31,0
1772193945.010983,-4.339387,-0.309460,-2.815296,0.044845,-0.480074,0.040646,0.875137,32,0
1772193945.120979,-4.552710,-0.319740,-2.714202,0.058750,-0.459253,0.040225,0.885448,33,0
1772193944.240987,-2.942186,-0.216576,-3.417308,0.030620,-0.556972,0.035367,0.829213,25,0
1772193945.395979,-5.063404,-0.379244,-2.410203,0.039894,-0.418186,0.062204,0.905350,35,0
1772193944.790976,-3.940833,-0.284297,-3.030583,0.030434,-0.508469,0.034468,0.859852,30,0
1772193944.570989,-3.528191,-0.238516,-3.205204,0.041247,-0.522381,0.038534,0.850842,28,0
1772193945.890981,-5.907135,-0.417257,-1.936426,0.036670,-0.376083,0.067861,0.923370,38,0
1772193945.560959,-5.353718,-0.414059,-2.263075,0.041212,-0.397878,0.065335,0.914180,36,0
1772193945.230978,-4.760810,-0.341239,-2.583652,0.063500,-0.435792,0.047906,0.896525,34,0
1772193946.990953,-7.337119,-0.452906,-0.376460,0.024865,-0.169784,0.044004,0.984184,45,0
1772193946.660973,-7.009925,-0.464901,-0.940990,0.031034,-0.249971,0.051480,0.966385,43,0
1772193946.495932,-6.821643,-0.436061,-1.198621,0.036997,-0.287015,0.057946,0.955456,42,0
1772193946.165936,-6.333487,-0.452140,-1.656246,0.029404,-0.358308,0.065151,0.930863,40,0
1772193947.870976,-7.872081,-0.501015,1.358117,0.044589,0.007714,0.038333,0.998240,50,0
1772193946.330986,-6.587095,-0.438614,-1.434051,0.030252,-0.331669,0.060051,0.940996,41,0
1772193947.155999,-7.486988,-0.454127,-0.069496,0.022188,-0.144749,0.034231,0.988627,46,0
1772193946.825989,-7.179068,-0.477236,-0.671325,0.023369,-0.199227,0.050448,0.978375,44,0
1772193947.705975,-7.835020,-0.490424,1.030522,0.052733,-0.043598,0.036875,0.996975,49,0
1772193947.540922,-7.750912,-0.491193,0.679516,0.037728,-0.090293,0.044022,0.994226,48,0
1772193947.320973,-7.614453,-0.487853,0.249016,0.015680,-0.127672,0.050180,0.990422,47,0
1772193946.000973,-6.080771,-0.434208,-1.832224,0.027051,-0.373513,0.076405,0.924077,39,0
1772193948.200973,-7.898757,-0.467902,2.016740,0.017974,0.084036,0.060654,0.994453,53,0
1772193947.980990,-7.877254,-0.508937,1.580001,0.032480,0.053551,0.038438,0.997296,51,0
1772193949.025999,-7.739952,-0.442113,3.656224,0.028042,0.132879,0.017270,0.990585,58,0
1772193948.476002,-7.919741,-0.480287,2.556423,0.032387,0.080071,0.058957,0.994517,55,0
1772193948.365978,-7.915592,-0.463031,2.340060,0.033952,0.078496,0.055403,0.994795,54,0
1772193948.860977,-7.813571,-0.448886,3.311544,0.027559,0.110918,0.031064,0.992962,57,0
1772193948.090978,-7.887568,-0.489389,1.797304,0.022655,0.072242,0.057391,0.995477,52,0
1772193950.950953,-6.574100,-0.331852,7.216888,0.020459,0.078884,0.039298,0.995899,69,0
1772193950.620961,-6.872355,-0.306704,6.529615,0.014656,0.050602,0.020756,0.998396,67,0
1772193949.960966,-7.341740,-0.397306,5.252097,0.034070,-0.022292,-0.011327,0.999107,63,0
1772193948.640975,-7.881027,-0.485796,2.879183,0.023430,0.097248,0.055929,0.993411,56,0
1772193949.795937,-7.395815,-0.403824,4.986562,0.032694,0.007777,-0.001423,0.999434,62,0
1772193949.300981,-7.591899,-0.433522,4.174819,0.023079,0.146990,0.039112,0.988095,59,0
1772193949.465988,-7.511050,-0.384894,4.469509,0.019792,0.114378,0.033124,0.992688,60,0
1772193949.630959,-7.438814,-0.371162,4.736706,0.019880,0.065254,0.012035,0.997598,61,0
1772193953.590946,-4.027670,-0.157108,12.196474,0.018057,0.447646,0.039592,0.893152,80,0
1772193952.160951,-5.620268,-0.266723,9.659684,0.017188,0.162605,0.045505,0.985491,75,0
1772193950.290974,-7.152056,-0.343721,5.885354,0.027374,0.001932,-0.008012,0.999591,65,0
1772193950.455964,-7.018298,-0.335918,6.203490,0.031055,0.022376,0.006126,0.999248,66,0
1772193950.125959,-7.263354,-0.344662,5.565736,0.033473,-0.018341,-0.010793,0.999213,64,0
1772193951.940948,-5.757402,-0.252422,9.271386,0.015277,0.184602,0.044644,0.981680,74,0
1772193951.720955,-5.933874,-0.271611,8.853040,-0.003242,0.191721,0.044486,0.980435,73,0
1772193951.280962,-6.302592,-0.277076,7.923045,0.014543,0.121479,0.016948,0.992343,71,0
